Qty,Value,Device,Package,Parts,秋月電子販売コード
1,0.1u,C-EUC0603,C0603,C6,113374
2,10k,R-EU_R0603,R0603,"R27, R28",
5,120,R-EU_R0603,R0603,"R1, R3, R8, R23, R25",
7,1k,R-EU_R0603,R0603,"R2, R4, R5, R12, R17, R18, R26",
1,2.2u,C-EUC2012,C2012,C3,114788
2,22p,C-EUC0603,C0603,"C1, C4",111626
1,3.9k,R-EU_R0603,R0603,R14,
3,470,R-EU_R0603,R0603,"R6, R7, R10",106471
1,470p,C-EUC2012,C2012,C2,
1,8MHz,CRYSTAL_HC49-11L-3.5H,XTALRR488W43L1135T465H350B,XTAL1,108667
1,953-1C-12DG-1,953-1C-12DG-1,953-1C-12V,U$3,105777
1,953-1C-24DG-1,953-1C-24DG-1,953-1C-24V,U$2,105778
1,9k,R-EU_R0603,R0603,R9,
1,ADUM121N1BRZR_8_ADI-L,ADUM121N1BRZR_8_ADI-L,R_8_ADI-L,U6,113619
2,B2B-XH-A,B2B-XH-A,B2B-XH-A,"J5, J6",112247
2,B3B-EH-A(LF)(SN)CONN3_B3B-EH-A(LF)(SN)_JST,B3B-EH-A(LF)(SN)CONN3_B3B-EH-A(LF)(SN)_JST,CONN3_B3B-EH-A(LF)(SN)_JST,"J7, J9",
2,B4B-EH-A(LF)(SN)CONN_B4B-EH-A_JST,B4B-EH-A(LF)(SN)CONN_B4B-EH-A_JST,CONN_B4B-EH-A_JST,"J2, J4",112249
1,B4B-XH-A,B4B-XH-A,B4B-XH-A,J1,
3,BSS123,NMOSFET_BSS123_SOT23-GSD,SOT23,"Q1, Q2, Q3",
2,CUHS20S30US2H-L,CUHS20S30US2H-L,US2H-L,"D1, D2",129497
1,EDS104SZ_DIPスイッチ,EDS104SZ_DIPスイッチ,8P,DIP,100586
2,GS1006FL_R1_00001CR_SOD-123FL_PNJ-L,GS1006FL_R1_00001CR_SOD-123FL_PNJ-L,CR_SOD-123FL_PNJ-L,"CR1, CR2",106014
2,LED_RED,CHIP-FLAT-R_0603-0.55MM,LEDC1608X55N_FLAT-R,"D3, D4",111879
1,LED_YELLOW,CHIP-FLAT-R_0603-0.55MM,LEDC1608X55N_FLAT-R,D5,
1,LED_YELLOW,CHIP-FLAT-Y_0603-0.55MM,LEDC1608X55N_FLAT-Y,D6,111880
1,MCP2515-I/SOSOIC18-W_MC_MCH-L,MCP2515-I/SOSOIC18-W_MC_MCH-L,SOIC18-W_MC_MCH-L,U2,
1,MIC5219-5.0YM5SOT-23-5_M5_MCL-L,MIC5219-5.0YM5SOT-23-5_M5_MCL-L,SOT-23-5_M5_MCL-L,U7,116188
2,PEC3824C2A-AU,PEC3824C2A-AU,SOT23,"U$11, U$12",
1,PIC16F1705-I/SLSOIC14_SL_MCH,PIC16F1705-I/SLSOIC14_SL_MCH,SOIC14_SL_MCH,U4,113571
1,PIEZOPIEZO2,PIEZO,PIEZO-BACKUP,BZ,109704
1,PINHD-1X06_1X06M,PINHD-1X06_1X06M,1X06,U$1,
1,SLIDE_SWITCH,SLIDE_SWITCH,SLIDE_SWITCH,U$4,115707
1,TJA1050TSOT96-1_NXP-L,TJA1050TSOT96-1_NXP-L,SOT96-1_NXP-L,U5,
2,"TLP152(TPL,ETLP152_4P55X3P7_TOS-L","TLP152(TPL,ETLP152_4P55X3P7_TOS-L",TLP152_4P55X3P7_TOS-L,"U1, U8",110824
1,XIAO-THRUHOLEHYBRID-SMT-THT,XIAO-THRUHOLEHYBRID-SMT-THT,XIAO-GENERIC-HYBRID-MODULE14P-2.54-21X17.8MM,U3,"100661,115178"
3,XT60PB-M,XT60PB-M,XT60PB-M,"CON6, CON7, CON8",
2,XT90PW-F,XT90PW-F,XT90PW-F,"CON4, CON5",
3,ZLH_12.5X20,ZLH_12.5X20,ZLH_12.5X20,"U$13, U$14, U$15",102722
2,低背ヒューズホルダー,低背ヒューズホルダー,低背ヒューズホルダー,"U$17, U$18",118223
